指数名称,指数代码,基金代码,基金名称,基金类型,净值,净值日期
养老产业,SZ399812,516560,华宝中证养老产业ETF,指数型-股票,0.9215,2025-09-08 15:00
中证白酒,SZ399997,012414,招商中证白酒指数(LOF)C,指数型-股票,0.8289,2025-09-08 15:00
中证白酒,SZ399997,161725,招商中证白酒指数(LOF)A,指数型-股票,0.8324,2025-09-08 15:00
主要消费,SH000932,000248,汇添富中证主要消费ETF联接A,指数型-股票,2.3832,2025-09-08 15:00
主要消费,SH000932,009179,嘉实中证主要消费ETF发起联接A,指数型-股票,1.1095,2025-09-08 15:00
主要消费,SH000932,009180,嘉实中证主要消费ETF发起联接C,指数型-股票,1.0977,2025-09-08 15:00
主要消费,SH000932,012857,汇添富中证主要消费ETF联接C,指数型-股票,2.3589,2025-09-08 15:00
主要消费,SH000932,021879,嘉实中证主要消费ETF发起联接I,指数型-股票,1.0989,2025-09-08 15:00
主要消费,SH000932,159672,博时主要消费ETF,指数型-股票,0.8317,2025-09-08 15:00
主要消费,SH000932,159689,南方中证主要消费ETF,指数型-股票,0.8359,2025-09-08 15:00
主要消费,SH000932,159928,汇添富中证主要消费ETF,指数型-股票,0.8802,2025-09-08 15:00
主要消费,SH000932,512600,嘉实中证主要消费ETF,指数型-股票,0.7487,2025-09-08 15:00
主要消费,SH000932,560680,广发中证主要消费ETF,指数型-股票,0.9611,2025-09-08 15:00
国证食品,SZ399396,015040,国泰国证食品饮料行业(LOF)C,指数型-股票,0.8465,2025-09-08 15:00
国证食品,SZ399396,159843,招商国证食品饮料ETF,指数型-股票,0.6945,2025-09-08 15:00
国证食品,SZ399396,160222,国泰国证食品饮料行业(LOF)A,指数型-股票,0.8556,2025-09-08 15:00
